t	Zt
1	437.9
2	415.6
3	416.1
4	425.4
5	436.5
6	405.4
7	423.1
8	409.6
9	430.9
10	444.0
11	468.9
12	454.6
13	473.1
14	490.4
15	488.5
16	464.4
17	470.1
18	445.6
19	440.9
20	448.0
21	476.9
22	462.6
23	493.1
24	474.4
25	521.5
26	523.4
27	520.1
28	495.6
29	494.9
30	491.0
31	467.9
32	477.6
33	482.1
34	503.4
35	509.5
36	513.4
37	507.1
38	513.6
39	482.9
40	477.0
41	456.9
42	466.6
43	461.1
44	449.4
45	447.5
46	480.4
47	466.1
48	458.6
49	474.9
50	456.0
51	470.9
52	443.6
53	422.1
54	425.4
55	417.5
56	420.4
57	396.1
58	410.6
59	423.9
60	414.0
61	410.9
62	388.6
63	415.1
64	361.4
65	359.5
66	357.4
67	348.1
68	348.6
69	328.9
70	333.0
71	347.9
72	302.6
73	324.1
74	318.4
75	302.5
76	262.4
77	266.1
78	245.6
79	213.9
80	226.0
81	238.9
82	221.6
83	229.1
84	219.4
