t	Zt
1	211.1
2	229.9
3	284.8
4	212.6
5	186
6	153.8
7	104.8
8	62.6
9	80.8
10	77.3
11	143.8
12	201.7
13	225.9
14	255.3
15	286.3
16	215
17	208.4
18	194
19	123.2
20	110.6
21	125.1
22	115.7
23	123.5
24	184.6
25	242.6
26	286.6
27	302.4
28	277.4
29	254.3
30	205
31	120.2
32	116.4
33	128.1
34	132.8
35	186.6
36	241.2
37	253.7
38	297
39	364.4
40	241.8
41	272.7
42	243.9
43	208.1
44	141.5
45	147.8
46	188.6
47	208.7
48	284.3
49	278
50	341.4
51	363.1
52	280.7
53	283.5
54	234.5
55	190.2
56	182.5
57	156.7
58	165
59	189.5
60	276.5
61	300.5
62	331
63	324.6
64	295.6
65	298.5
66	275.5
67	236.9
68	159
69	196.2
70	226.5
71	265.1
72	292.6
