t	Zt
1	144.2
2	153.4
3	145.6
4	152.8
5	149.0
6	154.2
7	154.4
8	149.6
9	138.8
10	143.0
11	145.2
12	130.4
13	133.6
14	146.8
15	147.0
16	135.2
17	135.4
18	127.6
19	130.8
20	129.0
21	127.2
22	122.4
23	125.6
24	125.8
25	131.0
26	135.2
27	138.4
28	131.6
29	120.8
30	123.0
31	132.2
32	133.4
33	130.6
34	118.8
35	114.0
36	124.2
37	121.4
38	110.6
39	123.8
40	116.0
41	118.2
42	106.4
43	124.6
44	116.8
45	118.0
46	121.2
47	120.4
48	120.6
49	112.8
50	103.0
51	106.2
52	116.4
53	111.6
54	106.8
55	115.0
56	109.2
57	111.4
58	109.6
59	97.8
60	96.0
61	95.2
62	90.4
63	99.6
64	91.8
