t	Zt
1	106.7
2	78.8
3	81.0
4	76.5
5	87.7
6	80.2
7	81.4
8	82.2
9	93.1
10	86.3
11	98.3
12	98.2
13	76.2
14	82.1
15	74.3
16	102.8
17	99.3
18	93.1
19	95.9
20	92.6
21	78.3
22	85.0
23	73.5
24	71.3
25	76.3
26	78.4
27	79.3
28	85.7
29	87.7
30	85.8
31	85.8
32	90.5
33	77.8
34	75.7
35	94.4
36	88.0
37	95.8
38	111.7
39	115.1
40	91.0
41	85.5
42	96.3
43	103.1
44	95.9
45	82.9
46	102.8
47	86.0
48	93.9
49	103.2
50	95.3
51	98.0
52	92.1
53	92.5
54	105.1
55	103.2
56	102.6
57	88.6
58	115.6
59	95.5
60	88.7
61	115.4
62	105.7
63	96.4
64	99.9
